Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
"060142,060144",0.027753539412340867,0.0006968274449730315,Fr95,['Fr95'],R060144-R060142,nan,isom
"060144,060145",0.012039563576057727,0.0009156504219170937,Fr95,['Fr95'],R060145-R060144,nan,isom
"060144,060146",0.027284465506780174,0.0006963583710674709,Fr95,['Fr95'],R060146-R060144,nan,isom
"060146,060148",0.030020729955884205,0.0006990946355165748,Fr95,['Fr95'],R060148-R060146,nan,isom
"060148,060150",0.04018399790969916,0.002461657993923496,En74/70MB1+1,['En74'],R060150-R060148,nan,isom
"062144,062152",0.12773813121377864,0.004139734608838658,Po79,['Po79'],R062152-R062144,nan,isom
"062147,062148",0.015575911833052665,0.000814718436419244,Fr95,['Fr95'],R062148-R062147,nan,isom
"062148,062149",0.010096947871677356,0.000806499990477181,Fr95,['Fr95'],R062149-R062148,nan,isom
"062148,062152",0.07420082621976848,0.0031028868238797765,Po79,['Po79'],R062152-R062148,nan,isom
"062150,062152",0.04273591889872741,0.002499147635430349,Po79,['Po79'],R062152-R062150,nan,isom
"062150,062152",0.043205544381131014,0.0010909756264431605,Fr95,['Fr95'],R062152-R062150,nan,isom
"062152,062154",0.024498795998721026,0.0017673537274749422,Po79,['Po79'],R062154-R062152,nan,isom
"063151,063153",0.05709293676525977,0.0016603911904413005,Fr95 (Ta84),"['Ta84', 'Fr95']",R063153-R063151,nan,isom
"064154,064155",0.011989477526044498,0.001515060591221243,Fr95 (La83),"['La83', 'Fr95']",R064155-R064154,nan,isom
"064154,064156",0.02233334048969073,0.0016089389838761534,Fr95 (La83),"['La83', 'Fr95']",R064156-R064154,nan,isom
"064156,064157",0.0036830421158437344,0.0012675131434776185,Fr95 (La83),"['La83', 'Fr95']",R064157-R064156,nan,isom
"064156,064158",0.015672519641888233,0.0011287721633478028,Fr95 (La83),"['La83', 'Fr95']",R064158-R064156,nan,isom
"064158,064160",0.016612870820401526,0.001208545288325014,Fr95 (La83),"['La83', 'Fr95']",R064160-R064158,nan,isom
"066161,066162",0.011218929404689848,0.0013582770154796093,Fr95,['Fr95'],R066162-R066161,nan,isom
"066162,066163",0.004628789055081826,0.0011914837013931017,Fr95,['Fr95'],R066163-R066162,nan,isom
"066162,066164",0.015220086045523289,0.0012073706468787638,Fr95,['Fr95'],R066164-R066162,nan,isom
"068166,068167",0.005890896552063262,0.0011157439310756864,Fr95,['Fr95'],R068167-R068166,nan,isom
"068166,068168",0.014452332874395202,0.0011285860855591843,Fr95,['Fr95'],R068168-R068166,nan,isom
"068168,068170",0.015630512184807852,0.0011303533545248034,Fr95,['Fr95'],R068170-R068168,nan,isom
"070170,070172",0.014124420706804983,0.0013628146781805397,Fr95 (Ze75),"['Ze75', 'Fr95']",R070172-R070170,nan,isom
"070171,070172",0.007689962384816047,0.001353162990697556,Fr95 (Ze75),"['Ze75', 'Fr95']",R070172-R070171,nan,isom
"070172,070174",0.011613412581150763,0.001045172150285281,Fr95 (Ze75),"['Ze75', 'Fr95']",R070174-R070172,nan,isom
"070173,070174",0.006748334337695714,0.0015086885564802642,Fr95 (Ze75),"['Ze75', 'Fr95']",R070174-R070173,nan,isom
"070174,070176",0.010593315530103738,0.0012005800125620993,Fr95 (Ze75),"['Ze75', 'Fr95']",R070176-R070174,nan,isom
"072176,072177",0.0030573084857455006,0.0011885112154838748,Fr95 (Ta84a),"['Ta84a', 'Fr95']",R072177-R072176,nan,isom
"072176,072178",0.009093532931960975,0.0011975655521531982,Fr95 (Ta84a),"['Ta84a', 'Fr95']",R072178-R072176,nan,isom
"072178,072179",0.004311588890153911,0.0012687851613660134,Fr95 (Ta84a),"['Ta84a', 'Fr95']",R072179-R072178,nan,isom
"072178,072180",0.009955850709991759,0.00127725155409577,Fr95 (Ta84a),"['Ta84a', 'Fr95']",R072180-R072178,nan,isom
"074182,074184",0.010572641299647249,0.0011207017152592876,Fr95,['Fr95'],R074184-R074182,nan,isom
"074184,074186",0.00947621923894309,0.0011190570821682313,Fr95,['Fr95'],R074186-R074184,nan,isom
"076186,076188",0.009623399687353975,0.0012750643398635004,Fr95 (Ho81),"['Ho81', 'Fr95']",R076188-R076186,nan,isom
"076188,076190",0.008293336315931068,0.0011948302229579596,Fr95 (Ho81),"['Ho81', 'Fr95']",R076190-R076188,nan,isom
"076190,076192",0.00782390218484063,0.0009594090062161049,Fr95 (Ho81),"['Ho81', 'Fr95']",R076192-R076190,nan,isom
"078194,078195",0.002738598500778599,0.001141686655910584,Fr95,['Fr95'],R078195-R078194,nan,isom
"078194,078196",0.0074333387878276255,0.001068135724746816,Fr95,['Fr95'],R078196-R078194,nan,isom
"078196,078198",0.00923298923119642,0.0009916897037393676,Fr95,['Fr95'],R078198-R078196,nan,isom
"080198,080200",0.009703268069719455,0.0007574684010377532,Fr95,['Fr95'],R080200-R080198,nan,isom
"080199,080200",0.007825216185257625,0.0010685989965635966,Fr95,['Fr95'],R080200-R080199,nan,isom
"080200,080201",0.004069112416333965,0.0009865907309420966,Fr95,['Fr95'],R080201-R080200,nan,isom
"080200,080202",0.00962501590786688,0.0007573901488759006,Fr95,['Fr95'],R080202-R080200,nan,isom
"080202,080204",0.011190059144918404,0.0009154595158181046,Fr95,['Fr95'],R080204-R080202,nan,isom
