m_idxs,iso_idxs,redchisq,dof,lim
"363,364",068170,0.36407949710113874,2,3.0
381,072179,2.850492099999989e-09,1,3.8284271247461903
422,082201,2.9822520999999834e-09,1,3.8284271247461903
"140,141,142,143",028060,1.081332811369487,4,2.414213562373095
195,036084,1.7539343999999976e-09,1,3.8284271247461903
"202,203",038088,17.070600633131843,2,3.0
198,037087,1.7631600999999975e-09,1,3.8284271247461903
99,019041,1.1916303999999986e-09,1,3.8284271247461903
320,059141,2.3931663999999942e-09,1,3.8284271247461903
335,062144,2.4492600999999925e-09,1,3.8284271247461903
264,050111,2.103047880999992e-09,1,3.8284271247461903
404,078198,2.9604480999999883e-09,1,3.8284271247461903
450,095243,3.486548208999996e-09,1,3.8284271247461903
"16,15",005010,0.06837606867075299,2,3.0
207,040090,1.8224360999999995e-09,1,3.8284271247461903
251,048113,2.113240899999996e-09,1,3.8284271247461903
"152,153,151",029063,3.5245347431142426,3,2.632993161855452
"51,52",011023,0.30117647103629674,2,3.0
124,025055,1.3734435999999984e-09,1,3.8284271247461903
448,094239,3.4340772009995098e-09,1,3.8284271247461903
"92,93,94",018040,0.060798747283413605,3,2.632993161855452
"179,180",034076,2.341536828053062,2,3.0
"170,171",032072,0.8394895911526788,2,3.0
314,057139,2.3571024999999942e-09,1,3.8284271247461903
226,044100,1.982920899999996e-09,1,3.8284271247461903
"49,50",010022,0.24781919155458187,2,3.0
"352,353",066162,0.002808990120783546,2,3.0
354,066163,2.715452099999991e-09,1,3.8284271247461903
291,052125,2.2287840999999953e-09,1,3.8284271247461903
396,077191,2.9052099999934634e-09,1,3.8284271247461903
"369,370",070172,5.394571012037729,2,3.0
290,052124,2.2268960999999957e-09,1,3.8284271247461903
"405,406",079197,0.022550458125277246,2,3.0
263,050110,2.0982812489999915e-09,1,3.8284271247461903
"57,58",012026,1.6588326852850723,2,3.0
227,044101,1.9900520999999967e-09,1,3.8284271247461903
248,048111,2.0967240999999953e-09,1,3.8284271247461903
"372,373,374",070174,12.617437189094451,3,2.632993161855452
"312,313",056138,0.0017918589689991569,2,3.0
"268,269",050114,0.5307625660519506,2,3.0
178,034074,1.6564899999999342e-09,1,3.8284271247461903
310,056136,2.3357888999999945e-09,1,3.8284271247461903
"323,324",060144,0.010000001220927791,2,3.0
305,054134,2.2963263999999948e-09,1,3.8284271247461903
"331,332,333,334",060150,0.5262784392570642,4,2.414213562373095
"357,358",067165,0.04878048915801767,2,3.0
325,060145,2.453220899999993e-09,1,3.8284271247461903
"272,273",050117,0.27624309499344946,2,3.0
"361,362",068168,0.10832117366512742,2,3.0
"232,233",046104,21.39319907661344,2,3.0
294,052128,2.2420224999999955e-09,1,3.8284271247461903
"10,11",003007,0.014705882639812897,2,3.0
181,034077,1.713132099999998e-09,1,3.8284271247461903
"164,165",030070,0.12168707032530636,2,3.0
"315,316,317",058140,0.00885663981774827,3,2.632993161855452
442,092234,3.3976075209999873e-09,1,3.8284271247461903
411,080204,2.994278399999999e-09,1,3.8284271247461903
"318,319",058142,0.014705883556522666,2,3.0
"45,46,47",010020,0.4064264777095988,3,2.632993161855452
199,038084,1.7986080999999974e-09,1,3.8284271247461903
342,063151,2.5441935999999925e-09,1,3.8284271247461903
"235,236",046106,14.955752213412294,2,3.0
"274,275",050118,0.5307625660667403,2,3.0
121,024053,1.3388280999999986e-09,1,3.8284271247461903
267,050113,2.119497443999995e-09,1,3.8284271247461903
380,072178,2.8494243999999876e-09,1,3.8284271247461903
191,036078,1.7665208999999976e-09,1,3.8284271247461903
387,074184,2.877249599999999e-09,1,3.8284271247461903
"112,111",022048,0.26337022295388146,2,3.0
"246,247",048110,0.11552346675060587,2,3.0
"204,205,206",039089,0.5885361843668817,3,2.632993161855452
