Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
62,147,62,148,0.016065292568024598,0.00961632183391857,,R498-R497,isom,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
62,148,62,149,0.009933023450598096,0.009501534421500538,,R499-R498,isom,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
62,148,62,150,0.07655108168331251,0.036097441131764586,,R500-R498,isoe,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
62,148,62,152,0.11922252619798555,0.03441741900089876,,R502-R498,isoe,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
62,148,62,154,0.1544889215939718,0.03983692578477849,,R504-R498,kalpha,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
62,149,62,150,0.06661805823271441,0.037238158251752196,,R500-R499,kalpha,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
62,150,62,152,0.04267144451467304,0.011752742304588629,,R502-R500,isom,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
62,152,62,154,0.03526639539598625,0.020622177695161555,,R504-R502,isoe,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
63,151,63,153,0.05738421408320242,0.009480519056328818,,R521-R519,isom,,"329,415"
64,154,64,155,0.011357098322231815,0.0077830723569913135,,R534-R533,isom,,"334,421,333,416,332,330,417,418,331,420,422,419"
64,154,64,156,0.023983962018680326,0.008258378505150946,,R535-R533,isom,,"334,421,333,416,332,330,417,418,331,420,422,419"
64,155,64,156,0.01262686369644851,0.011285360597793824,,R535-R534,kalpha,,"334,421,333,416,332,330,417,418,331,420,422,419"
64,156,64,157,0.00306047857678151,0.006512716574675341,,R536-R535,isom,,"334,421,333,416,332,330,417,418,331,420,422,419"
64,156,64,158,0.017134204388208216,0.005803386203480686,,R537-R535,isom,,"334,421,333,416,332,330,417,418,331,420,422,419"
64,157,64,158,0.014073725811426706,0.008696880509020403,,R537-R536,kalpha,,"334,421,333,416,332,330,417,418,331,420,422,419"
64,158,64,160,0.01773091886480345,0.006225775692585205,,R538-R537,isom,,"334,421,333,416,332,330,417,418,331,420,422,419"
66,161,66,162,0.01185351990991926,0.007901689669446599,,R565-R564,isom,,"425,427,424,335,423,426,337,336"
66,162,66,163,0.00398455899694381,0.0068930867419915815,,R566-R565,isom,,"425,427,424,335,423,426,337,336"
66,162,66,164,0.018656866444886726,0.006953980725670357,,R567-R565,isom,,"425,427,424,335,423,426,337,336"
66,163,66,164,0.014672307447942914,0.00976206198538468,,R567-R566,kalpha,,"425,427,424,335,423,426,337,336"
68,166,68,167,0.005890896406973049,0.008355440982896678,,R591-R590,isom,,"338,340,339,429,428"
68,166,68,168,0.01562773194457158,0.00841429703657429,,R592-R590,isom,,"338,340,339,429,428"
68,168,68,170,0.016446137088776187,0.008442605372473988,,R593-R592,isom,,"338,340,339,429,428"
70,170,70,171,0.0066941744757464524,0.007494475239956943,,R631-R630,kalpha,,"435,341,434,344,436,342,343,345,430,431,432,433"
70,170,70,172,0.01480430820496242,0.005324643348613401,,R632-R630,isom,,"435,341,434,344,436,342,343,345,430,431,432,433"
70,171,70,172,0.008110133729215967,0.005280606812884453,,R632-R631,isom,,"435,341,434,344,436,342,343,345,430,431,432,433"
70,172,70,173,0.0054306854479628484,0.007168278001505239,,R633-R632,kalpha,,"435,341,434,344,436,342,343,345,430,431,432,433"
70,172,70,174,0.012206336033620646,0.004083445712385918,,R634-R632,isom,,"435,341,434,344,436,342,343,345,430,431,432,433"
70,173,70,174,0.006775650585657798,0.005897789880811884,,R634-R633,isom,,"435,341,434,344,436,342,343,345,430,431,432,433"
70,174,70,176,0.011254660091527927,0.0046870013242113154,,R636-R634,isom,,"435,341,434,344,436,342,343,345,430,431,432,433"
72,176,72,177,0.0030573084857454377,0.009170171514662298,,R662-R661,isom,,"346,347,437,348,349"
72,176,72,178,0.009093532931958663,0.009240031878192407,,R663-R661,isom,,"346,347,437,348,349"
72,178,72,179,0.004311588890154096,0.009789539550247793,,R664-R663,isom,,"346,347,437,348,349"
72,178,72,180,0.011828862894584574,0.009764701217575505,,R665-R663,isom,,"346,347,437,348,349"
74,182,74,184,0.011195808887409214,0.005130127707102129,,R671-R669,isom,,"439,351,350,438"
74,184,74,186,0.010120152063973323,0.005111878379394475,,R672-R671,isom,,"439,351,350,438"
76,186,76,188,0.009623399563773562,0.0012750643368045105,,R678-R676,isom,,"354,353,352"
76,188,76,190,0.00829333643951134,0.0011948302228992796,,R680-R678,isom,,"354,353,352"
76,190,76,192,0.0078239021848406,0.0009594090059068553,,R681-R680,isom,,"354,353,352"
78,194,78,195,0.0027385985007785,0.001141686656125275,,R709-R708,isom,,"357,356,355"
78,194,78,196,0.0074333387878276,0.0010681357249558907,,R710-R708,isom,,"357,356,355"
78,196,78,198,0.009232988982848758,0.000991689706700667,,R711-R710,isom,,"357,356,355"
80,198,80,199,0.0014647601039521289,0.005921205357613585,,R747-R746,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,198,80,200,0.010340275193232723,0.0034418809068245543,,R748-R746,isom,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,198,80,201,0.014690947202269697,0.005635508885541542,,R749-R746,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,198,80,202,0.021863596144379265,0.004855400940351639,,R750-R746,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,198,80,204,0.03436165831578928,0.006381180883613404,,R752-R746,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,199,80,200,0.008875515089280594,0.004832982300135901,,R748-R747,isom,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,199,80,201,0.013226187098317568,0.006566983280849578,,R749-R747,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,199,80,202,0.020398836040427137,0.005919863732018592,,R750-R747,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,199,80,204,0.03289689821183715,0.007222412270480318,,R752-R747,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,200,80,201,0.004350672009036974,0.00446963002666346,,R749-R748,isom,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,200,80,202,0.011523320951146542,0.003429053024979802,,R750-R748,isom,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,200,80,204,0.024021383122556556,0.005377944658767509,,R752-R748,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,201,80,202,0.007172648942109568,0.005626396881838279,,R750-R749,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,201,80,204,0.019670711113519583,0.006983780026704889,,R752-R749,kalpha,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
80,202,80,204,0.012498062171410015,0.004159555056463054,,R752-R750,isom,,"362,359,454,442,453,446,450,449,358,444,452,451,440,360,448,455,447,361,443,441,445"
81,203,81,205,0.01025145065797958,0.000992804948513256,,R770-R768,isom,,363
